Urls,Alive,Result Code,Result Text,Socket Error
coronamedicalmasks.store,Yes,404,Not Found,
coronastrong20.com,Yes,404,Not Found,
coronavirusessentials.store,Yes,404,Not Found,
fck-covid.com,Yes,404,Not Found,
novelcoronaviruses.com,Yes,404,Not Found,
fightthecoronavirus.org,Yes,404,Not Found,
corona-stopp.de,Yes,404,Not Found,
coronavirussurvivaltips.org,Yes,404,Not Found,
corona-virusstore.com,Yes,404,Not Found,
corona-protection.org,Yes,404,Not Found,
anti--covid.com,Yes,404,Not Found,
omgcorona.com,Yes,404,Not Found,
destroy-corona.com,Yes,404,Not Found,
coronavirus-defence.com,Yes,404,Not Found,
stopviruscorona.com,Yes,404,Not Found,
coronacationofficial.com,Yes,404,Not Found,
coronamaskofficial.com,Yes,404,Not Found,
coronaspread.co.uk,Yes,404,Not Found,
slaythecorona.com,Yes,404,Not Found,
quarantinelife.online,Yes,404,Not Found,
corona-schnelltesten.de,Yes,404,Not Found,
covidprotectionsupplies.com,Yes,404,Not Found,
staoptegencorona.nl,Yes,404,Not Found,
coronavirus-officiel.com,Yes,404,Not Found,
prevent-coronavirus.org,Yes,404,Not Found,
ripcoronavirus.com,Yes,404,Not Found,
mascarillasparacovid.com,Yes,404,Not Found,
coronavirussafetyproduct.com,Yes,404,Not Found,
selfquarantineschool.com,Yes,404,Not Found,
coronavirus-store.com,Yes,404,Not Found,
ihateucovid.com,Yes,404,Not Found,
fvck-corona.com,Yes,404,Not Found,
aimcovid19.com,Yes,404,Not Found,
coronagear.org,Yes,404,Not Found,
caronavirus.store,Yes,404,Not Found,
anticorona2020.org,Yes,404,Not Found,
isurvivedcoronovirus.org,Yes,404,Not Found,
coronamemes.com,Yes,404,Not Found,
123stopcorona.com,Yes,404,Not Found,
40enquarantaine.com,Yes,404,Not Found,
coronaminus.com,Yes,404,Not Found,
coronavirusn95facemask.com,Yes,404,Not Found,
coronavirusn95masks.com,Yes,404,Not Found,
coronabutton.nl,Yes,404,Not Found,
coronavirusgift.com,Yes,404,Not Found,
isurvivedcoronavirusshop.com,Yes,404,Not Found,
coronatestkitballoons.com,Yes,404,Not Found,
coronaclothes.com,Yes,404,Not Found,
wegotchacovid.com,Yes,404,Not Found,
covid19medsupplies.com,Yes,404,Not Found,
thecoronavirusmasks.com,Yes,404,Not Found,
covid19testsite.com,Yes,404,Not Found,
corona-protection-mask.com,Yes,404,Not Found,
thecoronavirusmask.com,Yes,404,Not Found,
coronamouthmask.com,Yes,404,Not Found,
killcoronavirus19.com,Yes,404,Not Found,
coronavirusgearnow.com,Yes,404,Not Found,
coronaviruspreventionclinic.com,Yes,404,Not Found,
youredrunkcoronavirus.com,Yes,404,Not Found,
nolikecoronavirus.com,Yes,404,Not Found,
stop-corona-19.com,Yes,404,Not Found,
coronavirusmasks.co,Yes,404,Not Found,
coronaminus.net,Yes,404,Not Found,
coviddog.com,Yes,404,Not Found,
coronaclothing.de,Yes,404,Not Found,
quarantinemasks.com,Yes,404,Not Found,
conquercorona.com,Yes,404,Not Found,
mascheracoronavirus.com,Yes,404,Not Found,
corona-virus-masks.com,Yes,404,Not Found,
coronavirusmascarillas.es,Yes,404,Not Found,
coronastreetwear.com,Yes,404,Not Found,
coronavirus-hygiene.de,Yes,404,Not Found,
coronaviruschemicals.com,Yes,404,Not Found,
covid19uk.net,Yes,404,Not Found,
coronaroll.co.uk,Yes,404,Not Found,
covidmerch.org,Yes,404,Not Found,
coronavirusmasks.shop,Yes,404,Not Found,
kickcoronavirus.com,Yes,404,Not Found,
covid19testresults.com,Yes,404,Not Found,
coronavirus-protocol.com,Yes,404,Not Found,
quarantineandchill.biz,Yes,404,Not Found,
disinfect-covid19.org,Yes,404,Not Found,
coronafits.com,Yes,404,Not Found,
